Date,Equal-Weight,Value-Weight
10/1/2007,180.1055481,56.53928187
11/1/2007,165.2034172,54.04959892
12/1/2007,163.0275603,53.85095368
1/1/2008,154.5956126,50.47981866
2/1/2008,150.531755,49.25554407
3/1/2008,146.5519243,48.88608989
4/1/2008,150.3999932,51.30004112
5/1/2008,155.4866117,52.52613823
6/1/2008,140.9550318,48.35422258
7/1/2008,142.3656769,47.86976694
8/1/2008,145.7249928,48.55705865
9/1/2008,129.8027187,43.95397667
10/1/2008,101.645868,36.17336087
11/1/2008,87.22271454,33.20201588
12/1/2008,90.27612142,33.81898728
1/1/2009,86.76240807,31.15451643
2/1/2009,76.44932231,28.01697498
3/1/2009,86.06254173,30.50204853
4/1/2009,104.9898971,33.80591938
5/1/2009,115.5370951,35.73330673
6/1/2009,119.4872516,35.79948436
7/1/2009,130.0770408,38.60557607
8/1/2009,139.140085,39.87740024
9/1/2009,149.4353417,41.60041522
10/1/2009,140.1888743,40.52389485
11/1/2009,143.2057719,42.79515823
12/1/2009,152.8103011,44.08099441
1/1/2010,151.6782949,42.56338236
2/1/2010,157.5982544,44.04522321
3/1/2010,170.1350187,46.79967414
4/1/2010,182.8727795,47.7685652
5/1/2010,167.7821367,43.92633575
6/1/2010,155.1278786,41.47322512
7/1/2010,164.0133886,44.34936801
8/1/2010,153.2682555,42.28929114
9/1/2010,169.8262048,46.32164476
10/1/2010,177.5524419,48.15420854
11/1/2010,181.3704341,48.48444597
12/1/2010,196.795043,51.76069777
1/1/2011,200.5427323,52.87540777
2/1/2011,209.3767657,54.86116353
3/1/2011,211.4644885,55.11251352
4/1/2011,214.6960982,56.66644668
5/1/2011,210.2319314,55.98246325
6/1/2011,204.6627404,54.94122962
7/1/2011,199.4314871,53.72977551
8/1/2011,181.069195,50.53120892
9/1/2011,161.2737699,46.46841503
10/1/2011,180.9993725,51.84659595
11/1/2011,177.5089982,51.6653676
12/1/2011,177.5934436,51.9882387
1/1/2012,194.0495774,54.71757879
2/1/2012,202.0142748,57.07690892
3/1/2012,208.5337377,58.77592093
4/1/2012,206.4905923,58.40732212
5/1/2012,191.9338535,54.70521917
6/1/2012,199.2623477,56.84581354
7/1/2012,197.6551551,57.41735997
8/1/2012,203.3404509,58.8718973
9/1/2012,211.2155751,60.36369047
10/1/2012,207.4174812,59.27056313
11/1/2012,208.0194097,59.77707718
12/1/2012,213.3242583,60.49184443
1/1/2013,228.9545366,63.91798542
2/1/2013,231.3046243,64.68142156
3/1/2013,241.6311234,67.19772093
4/1/2013,241.4676745,68.20913761
5/1/2013,252.30382,69.90914603
6/1/2013,252.2232565,68.99489915
7/1/2013,270.1970223,72.75797238
8/1/2013,264.4561216,70.82103335
9/1/2013,279.7977559,73.57657154
10/1/2013,287.0465967,76.64045954
11/1/2013,297.9905657,78.79929016
12/1/2013,307.3021521,81.05439331
1/1/2014,307.6708464,78.50244531
2/1/2014,322.6551167,82.28726369
3/1/2014,322.6638484,82.69880991
4/1/2014,310.3046804,82.61305449
5/1/2014,310.9856466,84.33686804
6/1/2014,325.671192,86.63291625
7/1/2014,310.6307907,84.7898434
8/1/2014,323.2607545,88.37785659
9/1/2014,307.766223,86.42696995
10/1/2014,316.3817598,88.63070263
11/1/2014,316.2121129,90.76675091
12/1/2014,321.5278491,90.75879985
1/1/2015,311.8209844,88.17501766
2/1/2015,332.1756584,93.34571366
3/1/2015,332.6711571,92.39729725
4/1/2015,333.4254393,92.88368045
5/1/2015,337.3477533,94.12227298
6/1/2015,335.6502729,92.53291747
7/1/2015,326.0875031,93.97867586
8/1/2015,310.9060528,88.25866205
